"IMEA_Regions","Area_ha","2010-04-15","2009-04-15","change_in_plant_per"
"Noroeste",261200,1,1,0
"Norte",44000,1,1,0
"Nordeste",617350,0.978,0.871,0.107
"Medio_Norte",2466000,1,0.999,0.001
"Oeste",948200,1,0.998,0.002
"Centro_Sul",409100,1,0.997,0.003
"Sudeste",1460600,1,0.961,0.039
"Mato_Grosso",6206450,0.998,0.98,0.018
