"IMEA_Regions","Area_ha","2011-11-24","2010-11-25","change_in_plant_per.x","2011-12-01","2010-12-02","change_in_plant_per.y"
"Centro_Sul",425493,1,0.983,0.017,1,1,0
"Mato_Grosso",6782061,0.984,0.941,0.043,0.998,0.989,0.009
"Medio_Norte",2648542,1,0.981,0.019,1,1,0
"Nordeste",884200,0.897,0.806,0.091,0.983,0.95,0.033
"Noroeste",271648,0.95,0.844,0.106,1,1,0
"Norte",42000,1,0.954,0.046,1,1,0
"Oeste",976710,1,0.979,0.021,1,1,0
"Sudeste",1533468,0.993,0.918,0.075,1,0.975,0.025
