"IMEA_Regions","Area_ha","Partial_prod_sc_ha","2013-01-10","2013-01-17","2013-01-24","2013-01-31","2013-02-07","2013-02-14","2013-02-21","2013-02-28","2013-03-07","2013-03-14","2013-03-21","2013-03-28","2013-04-04","2013-04-11","2013-04-18","2012-04-12","change_in_plant_per"
"Noroeste",415480,49,0,0.005,0.04,0.1,0.13,0.22,0.3,0.42,0.58,0.78,0.91,0.97,0.99,1,1,1,0
"Norte",127897,49,0,0.01,0.05,0.15,0.18,0.24,0.43,0.6,0.76,0.94,0.99,1,1,1,1,1,0
"Nordeste",1200843,51,0,0,0.004,0.02,0.054,0.109,0.212,0.356,0.44,0.544,0.686,0.816,0.953,0.988,1,1,0
"Medio_Norte",3011900,50,0.013,0.031,0.079,0.132,0.204,0.299,0.52,0.689,0.88,0.961,0.993,1,1,1,1,1,0
"Oeste",1002240,50,0.023,0.045,0.097,0.165,0.225,0.376,0.473,0.627,0.759,0.866,0.95,0.99,1,1,1,1,0
"Centro_Sul",483358,49,0.011,0.04,0.082,0.114,0.157,0.255,0.373,0.474,0.578,0.762,0.896,0.963,0.979,0.998,1,1,0
"Sudeste",1649248,51,0.006,0.036,0.098,0.118,0.181,0.277,0.45,0.62,0.747,0.906,0.97,0.992,1,1,1,1,0
"Mato_Grosso",7890963,50.2,0.009,0.028,0.071,0.114,0.172,0.268,0.431,0.587,0.734,0.852,0.926,0.965,0.991,0.998,1,1,0
