"IMEA_Regions","Area_ha","2010-11-11","2010-12-02","2009-12-03","change_in_plant_per"
"Noroeste",261200,0.599,1,1,0
"Norte",44000,0.728,1,1,0
"Nordeste",652200,0.468,0.95,0.901,0.049
"Medio_Norte",2436000,0.781,1,1,0
"Oeste",907200,0.804,1,1,0
"Centro_Sul",399100,0.737,1,1,0
"Sudeste",1446600,0.653,0.975,1,-2.5
"Mato_Grosso",6146300,0.71,0.989,0.991,0.2
