"Regions","Area_ha","2013-01-10","2013-01-17","2013-01-24","2013-01-31","2013-02-07","2013-02-14","2013-02-21","2013-02-28","2013-03-07","2013-03-14","2013-03-21","2013-03-28","2013-04-04","2013-04-11","2013-04-18"
"Noroeste",415480,0,0.005,0.04,0.1,0.13,0.22,0.3,0.42,0.58,0.78,0.91,0.97,0.99,1,1
"Brasnorte",164949,0,0.005,0.04,0.1,0.13,0.22,0.3,0.42,0.58,0.78,0.91,0.97,0.99,1,1
"Others_Noroeste",250531,0,0.005,0.04,0.1,0.13,0.22,0.3,0.42,0.58,0.78,0.91,0.97,0.99,1,1
"Norte",127897,0,0.01,0.05,0.15,0.18,0.24,0.43,0.6,0.76,0.94,0.99,1,1,1,1
"Itauba",37012,0,0.01,0.05,0.15,0.18,0.24,0.43,0.6,0.76,0.94,0.99,1,1,1,1
"Others_Norte",90885,0,0.01,0.05,0.15,0.18,0.24,0.43,0.6,0.76,0.94,0.99,1,1,1,1
"Nordeste",1200843,0,0,0.004,0.02,0.054,0.109,0.212,0.356,0.44,0.544,0.686,0.816,0.953,0.988,1
"Canarana",193658,0,0,0.005,0.02,0.07,0.11,0.25,0.4,0.47,0.62,0.75,0.85,0.95,0.98,1
"Querencia",326086,0,0,0.005,0.04,0.08,0.13,0.23,0.35,0.45,0.61,0.76,0.86,0.96,0.99,1
"Gaucha_do_Norte",154883,0,0,0,0.01,0.07,0.1,0.2,0.33,0.43,0.48,0.58,0.75,0.95,0.98,1
"Nova_Xavantina",56082,0,0,0,0.005,0.01,0.08,0.12,0.36,0.4,0.45,0.55,0.75,0.95,1,1
"Others_Nordeste",470134,0,0,0.005,0.01,0.03,0.1,0.2,0.35,0.43,0.5,0.66,0.8,0.95,0.99,1
"Medio_Norte",3011900,0.013,0.031,0.079,0.132,0.204,0.299,0.52,0.689,0.88,0.961,0.993,1,1,1,1
"Lucas_do_Rio_Verde",266389,0.03,0.04,0.09,0.17,0.24,0.39,0.61,0.85,0.97,0.99,1,1,1,1,1
"Sorriso",633400,0.03,0.04,0.1,0.18,0.27,0.3,0.58,0.83,0.95,0.98,1,1,1,1,1
"Nova_Mutum",385388,0.01,0.04,0.07,0.08,0.15,0.23,0.43,0.58,0.85,0.97,0.99,1,1,1,1
"Ipiranga_do_Norte",240027,0.015,0.025,0.07,0.13,0.18,0.32,0.52,0.65,0.88,0.98,1,1,1,1,1
"Sinop",118893,0.01,0.02,0.07,0.13,0.18,0.24,0.44,0.55,0.79,0.97,0.99,1,1,1,1
"Tapurah",165105,0.007,0.02,0.07,0.17,0.2,0.35,0.57,0.7,0.82,0.93,0.99,1,1,1,1
"Santa_Rita_do_Trivelato",176205,0,0.015,0.06,0.09,0.13,0.25,0.51,0.66,0.85,0.94,0.99,1,1,1,1
"Nova_Ubirata",293924,0,0.02,0.075,0.11,0.2,0.33,0.5,0.63,0.91,0.99,1,1,1,1,1
"Vera",143120,0,0.015,0.06,0.15,0.25,0.35,0.57,0.67,0.86,0.95,0.99,1,1,1,1
"Sao_Jose_do_Rio_Claro",119960,0.02,0.04,0.08,0.13,0.18,0.27,0.38,0.5,0.69,0.81,0.95,0.99,1,1,1
"Others_Medio_Norte",469489,0,0.03,0.075,0.1,0.18,0.28,0.5,0.65,0.85,0.94,0.99,1,1,1,1
"Oeste",1002240,0.023,0.045,0.097,0.165,0.225,0.376,0.473,0.627,0.759,0.866,0.95,0.99,1,1,1
"Sapezal",366600,0.055,0.08,0.13,0.21,0.28,0.45,0.57,0.73,0.82,0.92,0.98,1,1,1,1
"Campo_Novo_dos_Parecis",382881,0,0.02,0.07,0.12,0.18,0.3,0.38,0.55,0.7,0.81,0.92,0.98,1,1,1
"Campos_de_Julio",178000,0.015,0.03,0.09,0.18,0.22,0.4,0.47,0.6,0.76,0.88,0.95,0.99,1,1,1
"Others_Oeste",74759,0,0.04,0.09,0.14,0.2,0.35,0.48,0.58,0.76,0.86,0.95,0.99,1,1,1
"Centro_Sul",483358,0.011,0.04,0.082,0.114,0.157,0.255,0.373,0.474,0.578,0.762,0.896,0.963,0.979,0.998,1
"Diamantino",319340,0.015,0.04,0.08,0.11,0.15,0.25,0.36,0.45,0.55,0.75,0.88,0.95,0.97,0.99,1
"Tangara_da_Serra",67258,0,0.04,0.1,0.13,0.18,0.26,0.4,0.5,0.6,0.82,0.95,0.99,1,1,1
"Santo_Antonio_do_Leveger",23887,0,0.01,0.04,0.07,0.13,0.23,0.36,0.48,0.62,0.75,0.9,0.99,1,1,1
"Chapada_dos_Guimaraes",19594,0.02,0.08,0.14,0.17,0.25,0.36,0.5,0.75,0.85,0.95,0.98,1,1,1,1
"Others_Centro_Sul",53278,0,0.04,0.07,0.12,0.15,0.25,0.38,0.48,0.6,0.7,0.89,0.98,0.99,1,1
"Sudeste",1649248,0.006,0.036,0.098,0.118,0.181,0.277,0.45,0.62,0.747,0.906,0.97,0.992,1,1,1
"Campo_Verde",209405,0.04,0.08,0.15,0.2,0.3,0.45,0.6,0.83,0.95,0.98,0.99,1,1,1,1
"Primavera_do_Leste",260000,0.003,0.04,0.08,0.1,0.2,0.27,0.43,0.58,0.85,0.94,0.99,1,1,1,1
"Alto_Garcas_e_Alto_Taquari",141112,0,0.025,0.07,0.09,0.14,0.24,0.35,0.5,0.65,0.78,0.9,0.98,1,1,1
"Jaciara_e_Juscimeira",83590,0,0.005,0.06,0.1,0.15,0.23,0.38,0.55,0.66,0.9,0.97,0.99,1,1,1
"Santo_Antonio_do_Leste",135618,0,0.025,0.09,0.11,0.15,0.26,0.41,0.6,0.68,0.9,0.97,0.99,1,1,1
"Others_Sudeste",819524,0,0.03,0.1,0.11,0.16,0.25,0.45,0.61,0.7,0.9,0.97,0.99,1,1,1
"Mato_Grosso",7890963,0.01,0.028,0.071,0.114,0.172,0.268,0.431,0.587,0.734,0.852,0.926,0.965,0.991,0.998,1
