"IMEA_Regions","Area_ha","2016-09-22","2016-09-29","2016-10-06","2016-10-13","2016-10-20","2016-10-27","2016-11-03","2016-11-10","2016-11-17","2016-11-24","2016-12-01","2016-12-08","2016-12-15","weekly_change","2015-12-18","change_in_plant_per"
"Noroeste",697822,0.0106,0.0301,0.1275,0.3139,0.3997,0.7155,0.9078,0.9789,0.9952,0.9995,1,1,1,0,1,0
"Norte",3160412,0.0179,0.0679,0.2447,0.4188,0.5409,0.8339,0.9393,0.9855,1,1,1,1,1,0,1,0
"Nordeste",1557760,5e-04,0.0058,0.0189,0.0751,0.0889,0.2055,0.331,0.4673,0.7566,0.8673,0.964,0.9931,1,0.0069,0.9316,0.0684
"Medio_Norte",602753,0.003,0.013,0.096,0.3121,0.4621,0.7079,0.866,0.9721,0.996,1,1,1,1,0,1,0
"Oeste",277655,0.001,0.0184,0.0684,0.2051,0.2451,0.5251,0.6767,0.8634,0.9842,0.9942,0.9975,1,1,0,1,0
"Centro_Sul",1111378,0.0215,0.0992,0.3631,0.5382,0.6663,0.88,0.9803,0.9955,1,1,1,1,1,0,1,0
"Sudeste",1960304,0.011,0.0281,0.0877,0.2237,0.3806,0.6834,0.8173,0.9294,0.9817,0.9913,0.9958,1,1,0,1,0
"Mato_Grosso",9368084,0.012,0.0451,0.1648,0.314,0.4227,0.6773,0.8027,0.8838,0.9546,0.9759,0.9931,0.9989,1,0.0011,0.9887,0.0113
