"Regions","Area_ha","2014-06-05","2014-06-12","2014-06-18","2014-06-26","2014-07-03","2014-07-10","2014-07-17","2014-07-24","2014-07-31","2014-08-07","2014-08-14","2014-08-21","2014-08-28","2014-09-04"
"Noroeste",142143,0.007,0.017,0.034,0.054,0.154,0.27,0.4,0.588,0.669,0.869,0.958,0.984,1,1
"Brasnorte",54707,0.01,0.02,0.04,0.06,0.16,0.27,0.4,0.6,0.7,0.9,0.97,0.99,1,1
"Others_Noroeste",87436,0.005,0.015,0.03,0.05,0.15,0.27,0.4,0.58,0.65,0.85,0.95,0.98,1,1
"Norte",45235,0.001,0.043,0.053,0.063,0.185,0.293,0.413,0.563,0.713,0.813,0.855,0.993,1,1
"Itauba",12205,0.005,0.05,0.06,0.07,0.2,0.3,0.45,0.6,0.75,0.85,0.87,1,1,1
"Others_Norte",33031,0,0.04,0.05,0.06,0.18,0.29,0.4,0.55,0.7,0.8,0.85,0.99,1,1
"Nordeste",307177,0,0.018,0.037,0.063,0.169,0.253,0.436,0.68,0.83,0.939,0.992,1,1,1
"Canarana",57399,0,0.03,0.07,0.1,0.2,0.28,0.51,0.75,0.95,0.98,1,1,1,1
"Querencia",105643,0,0.02,0.04,0.06,0.18,0.22,0.42,0.65,0.82,0.95,1,1,1,1
"Gaucha_do_Norte",16189,0,0.005,0.04,0.06,0.15,0.35,0.4,0.65,0.75,0.9,1,1,1,1
"Nova_Xavantina",11766,0,0,0.01,0.04,0.12,0.22,0.42,0.65,0.75,0.88,1,1,1,1
"Others_Nordeste",116180,0,0.015,0.02,0.05,0.15,0.26,0.42,0.68,0.8,0.92,0.98,1,1,1
"Medio_Norte",1505383,0.017,0.031,0.06,0.112,0.283,0.452,0.629,0.81,0.914,0.983,0.997,0.998,1,1
"Lucas_do_Rio_Verde",151486,0.02,0.03,0.08,0.14,0.28,0.42,0.58,0.81,0.92,0.96,1,1,1,1
"Sorriso",317742,0.04,0.046,0.075,0.12,0.23,0.48,0.72,0.9,0.92,0.99,1,1,1,1
"Nova_Mutum",183486,0.04,0.045,0.06,0.11,0.31,0.41,0.52,0.69,0.86,0.99,1,1,1,1
"Ipiranga_do_Norte",112471,0,0.04,0.08,0.17,0.35,0.63,0.77,0.9,0.99,1,1,1,1,1
"Sinop",76511,0.005,0.035,0.05,0.09,0.3,0.35,0.53,0.79,0.94,1,1,1,1,1
"Tapurah",67912,0,0.01,0.07,0.12,0.23,0.31,0.55,0.93,0.99,1,1,1,1,1
"Santa_Rita_do_Trivelato",102561,0.01,0.02,0.04,0.07,0.38,0.45,0.5,0.6,0.75,0.94,0.98,0.99,1,1
"Nova_Ubirata",176895,0,0.02,0.04,0.1,0.35,0.5,0.73,0.85,0.99,1,1,1,1,1
"Vera",90158,0,0.02,0.04,0.12,0.25,0.52,0.7,0.89,0.95,0.99,1,1,1,1
"Sao_Jose_do_Rio_Claro",29249,0,0.015,0.03,0.07,0.1,0.2,0.35,0.45,0.7,0.95,1,1,1,1
"Others_Medio_Norte",196912,0.005,0.02,0.05,0.09,0.25,0.42,0.59,0.78,0.9,0.97,0.99,0.99,1,1
"Oeste",397701,0.035,0.057,0.083,0.123,0.19,0.254,0.363,0.553,0.729,0.868,0.971,0.988,0.998,1
"Sapezal",140624,0.05,0.08,0.1,0.13,0.21,0.25,0.34,0.58,0.78,0.89,0.98,0.99,1,1
"Campo_Novo_dos_Parecis",135229,0.05,0.06,0.08,0.12,0.18,0.24,0.39,0.5,0.69,0.83,0.97,0.99,1,1
"Campos_de_Julio",94115,0,0.03,0.07,0.12,0.18,0.28,0.36,0.59,0.71,0.89,0.96,0.98,0.99,1
"Others_Oeste",27733,0.005,0.02,0.06,0.11,0.17,0.25,0.36,0.55,0.73,0.87,0.97,0.99,1,1
"Centro_Sul",190574,0.001,0.015,0.041,0.091,0.123,0.218,0.336,0.518,0.622,0.819,0.891,0.993,1,1
"Diamantino",110005,0,0.02,0.05,0.1,0.11,0.21,0.33,0.53,0.63,0.82,0.88,1,1,1
"Tangara_da_Serra",31596,0,0,0.03,0.09,0.19,0.3,0.4,0.55,0.65,0.85,0.92,1,1,1
"Santo_Antonio_do_Leveger",11449,0.005,0.015,0.035,0.08,0.12,0.18,0.32,0.5,0.59,0.78,0.9,0.99,1,1
"Chapada_dos_Guimaraes",13000,0,0.012,0.03,0.07,0.1,0.15,0.28,0.41,0.55,0.78,0.89,0.95,1,1
"Others_Centro_Sul",24524,0.002,0.01,0.02,0.07,0.11,0.2,0.32,0.49,0.6,0.81,0.9,0.98,1,1
"Sudeste",633978,0.001,0.008,0.024,0.056,0.099,0.162,0.285,0.417,0.585,0.755,0.883,0.983,0.998,1
"Campo_Verde",113807,0,0.012,0.03,0.07,0.1,0.15,0.28,0.41,0.55,0.78,0.89,0.99,1,1
"Primavera_do_Leste",122176,0,0,0.025,0.05,0.09,0.18,0.3,0.45,0.68,0.8,0.93,1,1,1
