"IMEA_Regions","Area_ha","2018-09-21","2018-09-28","2018-10-05","2018-10-12","2018-10-19","2018-10-26","2018-11-02","2018-11-09","2018-11-16","2018-11-23","weekly_change","2017-11-24","change_in_plant_per"
"Noroeste",706321,0.0069,0.0338,0.1143,0.2514,0.5108,0.7267,0.9299,0.99,1,1,0,1,0
"Norte",3279780,0.011,0.0393,0.1247,0.2964,0.5528,0.8039,0.9447,0.9805,0.9998,1,2e-04,1,0
"Nordeste",1640264,5e-04,0.0023,0.0228,0.1201,0.2698,0.5242,0.6819,0.8624,0.9646,0.98,0.0154,0.7872,0.1928
"Medio_Norte",627352,0.0039,0.0531,0.1468,0.249,0.5233,0.7362,0.9101,0.9701,0.9978,1,0.0022,1,0
"Oeste",339662,0.0083,0.0481,0.1399,0.2782,0.5019,0.6375,0.7975,0.9425,0.9987,1,0.0013,0.966,0.034
"Centro_Sul",1085892,0.0162,0.1111,0.2737,0.481,0.7319,0.8848,0.9531,0.9929,1,1,0,1,0
"Sudeste",1940421,0.008,0.0458,0.1289,0.2599,0.5107,0.7204,0.9259,0.9908,1,1,0,0.9891,0.0109
"Mato_Grosso",9619692,0.0083,0.0432,0.1262,0.2728,0.5095,0.7325,0.8885,0.9625,0.9937,0.9966,0.0029,0.9606,0.036
