"IMEA_Regions","Area_ha","2011-03-24","2010-03-18","change_in_plant_per_1"
"Noroeste",60400,1,1,0
"Norte",13608,1,1,0
"Nordeste",78000,1,1,0
"Medio_Norte",865500,1,1,0
"Oeste",270100,1,1,0
"Centro_Sul",110000,1,1,0
"Sudeste",402500,1,1,0
"Mato_Grosso",1800108,1,1,0
