"IMEA_Regions","Area_ha","2017-01-06","2017-01-13","2017-01-20","2017-01-27","2017-02-03","2017-02-10","2017-02-17","2017-02-24","2017-03-03","2017-03-10","2017-03-17","2017-03-24","2017-03-31","2017-04-07","2017-04-14","2017-04-21","2017-04-28","weekly_change","2016-04-28","change_in_plant_per"
"Noroeste",609607,0.012,0.037,0.094,0.144,0.256,0.388,0.458,0.6083,0.7804,0.8663,0.9601,0.989,0.9994,1,1,1,1,0,1,0
"Norte",279653,0.0216,0.0675,0.1016,0.1575,0.2416,0.3775,0.4258,0.5891,0.7291,0.8641,0.9433,0.9758,0.9915,1,1,1,1,0,1,0
"Nordeste",1566171,0.0047,0.0075,0.0337,0.0533,0.085,0.1596,0.2033,0.3175,0.4937,0.618,0.7834,0.868,0.9425,0.9739,0.9902,0.997,1,0.003,0.9936,0.0064
"Medio_Norte",3166217,0.0198,0.0764,0.1477,0.2168,0.4478,0.663,0.7236,0.8633,0.9356,0.9769,0.9947,0.9984,0.9996,1,1,1,1,0,1,0
"Oeste",1113538,0.0163,0.0835,0.2043,0.2407,0.4009,0.6278,0.6553,0.7911,0.8943,0.9629,1,1,1,1,1,1,1,0,1,0
"Centro_Sul",700859,0.0287,0.0614,0.1074,0.1509,0.2356,0.3233,0.3996,0.589,0.7261,0.9288,0.9661,0.9899,1,1,1,1,1,0,1,0
"Sudeste",1960304,0.0091,0.0355,0.087,0.1283,0.2511,0.3498,0.4401,0.5855,0.7358,0.8832,0.9524,0.9822,0.9898,0.9932,1,1,1,0,1,0
"Mato_Grosso",9396349,0.0149,0.0533,0.1149,0.1625,0.3063,0.4579,0.5194,0.6606,0.7835,0.8817,0.9454,0.9716,0.9879,0.9942,0.9984,0.9995,1,5e-04,0.9989,0.0011
