"IMEA_Regions","Area_ha","2011-02-17","2010-02-18","2011-04-14","2010-04-15","change_in_plant_per"
"Noroeste",261200,0.289,0.266,1,1,0
"Norte",39000,0.207,0.394,1,1,0
"Nordeste",694200,0.095,0.111,0.961,0.978,-0.018
"Medio_Norte",2571400,0.19,0.438,1,1,0
"Oeste",930200,0.218,0.321,1,1,0
"Centro_Sul",413100,0.161,0.299,1,1,0
"Sudeste",1503400,0.178,0.32,0.985,1,-0.015
"Mato_Grosso",6412500,0.183,0.343,0.992,0.998,-0.006
