"Regions","Area_ha","2010-01-14","2010-01-21","2010-01-28","2010-02-04","2010-02-11","2010-02-18","2010-02-25","2010-03-04","2010-03-11","2010-03-18"
"Noroeste",77150,0.01,0.016,0.085,0.202,0.476,0.752,0.901,0.951,0.995,1
"Brasnorte",40000,0.01,0.02,0.1,0.25,0.5,0.8,0.92,0.98,1,1
"Others_Noroeste",37150,0.01,0.015,0.08,0.15,0.45,0.7,0.88,0.92,0.99,1
"Norte",4900,0.01,0.03,0.15,0.5,0.662,0.812,0.957,1,1,1
"Itauba",1200,0.01,0.03,0.15,0.5,0.7,0.85,0.98,1,1,1
"Others_Norte",3700,0.01,0.03,0.15,0.5,0.65,0.8,0.95,1,1,1
"Nordeste",71000,0,0.001,0.027,0.108,0.285,0.468,0.76,0.935,1,1
"Canarana",15000,0,0.01,0.03,0.12,0.4,0.6,0.8,0.98,1,1
"Querencia",30000,0,0,0.02,0.11,0.3,0.4,0.7,0.9,1,1
"Gaucha_do_Norte",10000,0,0,0.01,0.1,0.2,0.5,0.85,1,1,1
"Nova_Xavantina",3000,0,0,0.01,0.1,0.2,0.45,0.9,1,1,1
"Others_Nordeste",13000,0,0,0.03,0.1,0.2,0.45,0.75,0.9,1,1
"Medio_Norte",835000,0.019,0.07,0.116,0.271,0.511,0.743,0.884,0.974,0.988,0.999
"Lucas_do_Rio_Verde",150000,0.03,0.1,0.16,0.328,0.6,0.72,0.9,0.98,0.99,1
"Sorriso",220000,0.02,0.08,0.13,0.31,0.53,0.78,0.88,0.98,0.99,1
"Nova_Mutum",85000,0.02,0.05,0.09,0.24,0.47,0.74,0.9,0.98,0.99,1
"Ipiranga_do_Norte",65000,0.02,0.08,0.1,0.21,0.45,0.7,0.85,0.95,0.97,1
"Sinop",50000,0.02,0.05,0.12,0.25,0.49,0.75,0.9,0.98,0.99,1
"Tapurah",30000,0.02,0.05,0.06,0.35,0.6,0.78,0.9,0.98,0.99,1
"Santa_Rita_do_Trivelato",30000,0.02,0.04,0.06,0.26,0.45,0.7,0.88,0.97,0.99,1
"Nova_Ubirata",85000,0.01,0.06,0.12,0.21,0.44,0.7,0.82,0.96,0.99,1
"Vera",33000,0.01,0.07,0.15,0.24,0.53,0.85,0.95,0.98,0.99,1
"Sao_Jose_do_Rio_Claro",18000,0.01,0.04,0.07,0.2,0.5,0.82,0.92,0.98,0.99,1
"Others_Medio_Norte",69000,0.015,0.06,0.1,0.21,0.45,0.7,0.9,0.97,0.99,0.99
"Oeste",273900,0.036,0.134,0.176,0.31,0.509,0.743,0.878,0.973,0.994,0.999
"Sapezal",1e+05,0.05,0.18,0.22,0.27,0.5,0.72,0.88,0.97,0.99,1
"Campo_Novo_dos_Parecis",1e+05,0.03,0.1,0.15,0.3,0.5,0.75,0.86,0.97,1,1
"Campos_de_Julio",60000,0.02,0.1,0.13,0.4,0.55,0.78,0.9,0.98,0.99,1
"Others_Oeste",13900,0.02,0.1,0.14,0.28,0.47,0.7,0.9,0.98,0.99,0.99
"Centro_Sul",94000,0.016,0.065,0.124,0.261,0.4,0.662,0.818,0.945,0.997,1
"Diamantino",58000,0.02,0.04,0.12,0.28,0.43,0.65,0.8,0.95,1,1
"Tangara_da_Serra",13000,0.01,0.05,0.1,0.25,0.37,0.62,0.78,0.9,0.98,1
"Santo_Antonio_do_Leveger",4000,0.01,0.07,0.12,0.22,0.33,0.72,0.86,0.95,1,1
"Chapada_dos_Guimaraes",5000,0.01,0.12,0.14,0.22,0.33,0.75,0.87,0.98,1,1
"Others_Centro_Sul",14000,0.01,0.08,0.1,0.22,0.35,0.7,0.9,0.95,1,1
"Sudeste",418400,0.013,0.05,0.105,0.286,0.492,0.644,0.781,0.938,0.991,1
"Campo_Verde",90000,0.02,0.06,0.13,0.3,0.45,0.6,0.73,0.9,0.99,1
"Primavera_do_Leste",80000,0.015,0.03,0.12,0.3,0.4,0.58,0.7,0.95,0.99,1
"Alto_Garcas_e_Alto_Taquari",10000,0.01,0.05,0.09,0.2,0.25,0.45,0.7,0.95,1,1
"Jaciara_e_Juscimeira",20000,0,0.08,0.13,0.32,0.6,0.75,0.85,0.92,1,1
"Santo_Antonio_do_Leste",25000,0.01,0.04,0.12,0.25,0.5,0.72,0.9,0.95,0.99,1
"Others_Sudeste",193400,0.01,0.05,0.08,0.28,0.55,0.68,0.82,0.95,0.99,1
"Mato_Grosso",1774350,0.019,0.069,0.118,0.271,0.49,0.705,0.851,0.961,0.991,1
