"IMEA_Regions","Area_ha","2017-09-22","2017-09-29","2017-10-06","2017-10-13","2017-10-20","2017-10-27","2017-11-03","2017-11-10","2017-11-17","2017-11-24","2017-12-01","2017-12-08","2017-12-15","weekly_change","2016-12-15","change_in_plant_per"
"Noroeste",696979,5e-04,0.009,0.0312,0.0532,0.1389,0.4273,0.7273,0.884,0.9777,1,1,1,1,0,1,0
"Norte",3216159,0.002,0.0111,0.0826,0.1974,0.38,0.58,0.8074,0.9424,0.9909,1,1,1,1,0,1,0
"Nordeste",1599540,0,0,0.008,0.0158,0.0343,0.0546,0.1182,0.3022,0.5692,0.7872,0.9326,0.9838,1,0.0162,1,0
"Medio_Norte",602774,0,0.0081,0.036,0.091,0.2499,0.541,0.826,0.9239,0.973,1,1,1,1,0,1,0
"Oeste",306566,0,0.0033,0.0358,0.0808,0.1624,0.3516,0.5558,0.736,0.8347,0.966,0.9957,1,1,0,1,0
"Centro_Sul",1083186,0.0042,0.0433,0.1348,0.408,0.6068,0.79,0.9249,0.9805,0.9984,1,1,1,1,0,1,0
"Sudeste",1919481,0.0011,0.0077,0.0497,0.0708,0.1025,0.3129,0.5907,0.8005,0.9628,0.9891,1,1,1,0,1,0
"Mato_Grosso",9424685,0.0014,0.0117,0.0612,0.1444,0.2582,0.4406,0.6486,0.797,0.9073,0.9606,0.9884,0.9972,1,0.0028,1,0
