"IMEA_Regions","Area_ha","2017-01-06","2017-01-13","2017-01-20","2017-01-27","2017-02-03","2017-02-10","2017-02-17","2017-02-24","2017-03-03","2017-03-10","2017-03-17","2017-03-24","2017-03-31","weekly_change","2016-03-31","change_in_plant_per"
"Noroeste",253564,0,0,0.0134,0.0733,0.1332,0.3608,0.4149,0.6838,0.8272,0.9566,1,1,1,0,1,0
"Norte",116401,0.0075,0.0207,0.0484,0.0627,0.1084,0.3331,0.4431,0.5622,0.8922,0.9769,0.989,0.9984,1,0.002,1,0
"Nordeste",422154,0.0047,0.007,0.0204,0.0469,0.1177,0.2716,0.407,0.701,0.9129,0.9858,0.9961,1,1,0,1,0
"Medio_Norte",1890156,0.0117,0.0309,0.0752,0.1687,0.4522,0.6647,0.7652,0.9008,0.964,0.9973,0.9997,1,1,0,1,0
"Oeste",532789,0.0165,0.0348,0.0439,0.0722,0.1792,0.4427,0.5288,0.7211,0.9247,0.99,0.9982,1,1,0,1,0
"Centro_Sul",316726,0,0.0052,0.0244,0.0664,0.1088,0.2744,0.4056,0.6265,0.8359,0.9892,0.9993,1,1,0,1,0
"Sudeste",888785,0.0026,0.0052,0.0156,0.0319,0.1117,0.2693,0.4451,0.743,0.8868,0.9749,0.9931,0.9973,1,0.003,1,0
"Mato_Grosso",4420574,0.0082,0.02,0.0463,0.1023,0.2669,0.4668,0.5838,0.7873,0.92,0.9874,0.9976,0.9994,1,0.001,1,0
