"IMEA_Regions","Area_ha","2016-01-07","2016-01-14","2016-01-21","2016-01-28","2016-02-04","2016-02-11","2016-02-18","2016-02-25","2016-03-03","2016-03-10","2016-03-18","2016-03-25","2016-04-01","2016-04-08","2016-04-15","2016-04-22","2016-04-29","weekly_change","2015-04-30","change_in_plant_per"
"Noroeste",576154,NA,0.4735,0.4842,0.4843,0.4942,0.5242,0.5318,0.5269,0.5305,0.5278,0.5208,0.5141,0.4938,0.47,0.4762,0.4622,NA,NA,0.51,-0.0478
"Norte",277014,NA,NA,0.5,0.5153,0.5278,0.5288,0.5196,0.5166,0.519,0.5181,0.5141,0.5074,0.4963,0.4681,0.4641,0.4524,NA,NA,0.5284,-0.0759
"Nordeste",1519430,NA,0.4277,0.4824,0.4623,0.4721,0.4969,0.5039,0.5007,0.4947,0.4903,0.4851,0.4782,0.4662,0.4486,0.445,0.4081,0.3399,-0.0682,0.4958,-0.1559
"Medio_Norte",3142740,0.4896,0.4943,0.5085,0.5031,0.5072,0.5041,0.5018,0.4985,0.5015,0.4998,0.4887,0.4854,0.4687,0.47,0.4669,0.4641,NA,NA,0.5274,-0.0633
"Oeste",1082596,0.5937,0.5413,0.5248,0.5377,0.5473,0.5602,0.5637,0.5505,0.5441,0.5407,0.5433,0.5321,0.519,0.5178,NA,NA,NA,NA,0.5289,-0.0111
"Centro_Sul",661830,0.4779,0.4742,0.4835,0.4972,0.503,0.5352,0.5297,0.5238,0.5188,0.5246,0.5159,0.5148,0.4907,0.4734,0.4734,NA,NA,NA,0.522,-0.0487
"Sudeste",1944017,0.4704,0.5014,0.5219,0.5215,0.5247,0.5395,0.5413,0.5549,0.5502,0.5403,0.5275,0.5215,0.5028,0.499,0.4988,0.4904,NA,NA,0.5183,-0.0279
"Mato_Grosso",9203780,0.5062,0.498,0.5098,0.5125,0.5169,0.5259,0.5242,0.5228,0.5214,0.5175,0.5086,0.5028,0.486,0.479,0.4773,0.4672,0.3399,-0.1273,0.5191,-0.1792
