"Regions","Area_ha","2012-01-05","2012-01-12","2012-01-19","2012-01-26","2012-02-02","2012-02-09","2012-02-16","2012-02-23","2012-03-01","2012-03-09","2012-03-16","2012-03-23","2012-03-30","2012-04-06","2012-04-13"
"Noroeste",340000,0,0,0.005,0.014,0.08,0.2,0.316,0.438,0.538,0.738,0.822,0.922,0.966,1,1
"Brasnorte",135000,0,0,0.005,0.02,0.08,0.2,0.31,0.42,0.52,0.72,0.81,0.91,0.96,1,1
"Others_Noroeste",205000,0,0,0.005,0.01,0.08,0.2,0.32,0.45,0.55,0.75,0.83,0.93,0.97,1,1
"Norte",86300,0,0.002,0.007,0.034,0.09,0.186,0.286,0.512,0.612,0.732,0.838,0.942,0.986,1,1
"Itauba",35000,0,0.005,0.01,0.04,0.09,0.18,0.28,0.5,0.6,0.72,0.82,0.93,0.98,1,1
"Others_Norte",51300,0,0,0.005,0.03,0.09,0.19,0.29,0.52,0.62,0.74,0.85,0.95,0.99,1,1
"Nordeste",953800,0,0,0.005,0.03,0.077,0.179,0.28,0.355,0.458,0.55,0.689,0.766,0.857,0.958,1
"Canarana",135750,0,0,0.005,0.02,0.09,0.19,0.28,0.35,0.44,0.52,0.69,0.77,0.85,0.95,1
"Querencia",259000,0,0,0.005,0.06,0.12,0.24,0.33,0.38,0.5,0.6,0.73,0.8,0.88,0.98,1
"Gaucha_do_Norte",123000,0,0,0.005,0.01,0.07,0.15,0.25,0.34,0.43,0.53,0.68,0.76,0.85,0.95,1
"Nova_Xavantina",44500,0,0,0.005,0.02,0.04,0.13,0.25,0.31,0.42,0.5,0.65,0.72,0.82,0.94,1
"Others_Nordeste",391550,0,0,0.005,0.02,0.05,0.15,0.26,0.35,0.45,0.54,0.67,0.75,0.85,0.95,1
"Medio_Norte",2774300,0.004,0.015,0.029,0.061,0.109,0.273,0.39,0.621,0.776,0.9,0.971,0.998,1,1,1
"Lucas_do_Rio_Verde",242000,0.002,0.015,0.025,0.07,0.11,0.32,0.45,0.6,0.78,0.92,0.99,1,1,1,1
"Sorriso",614000,0.01,0.02,0.03,0.06,0.12,0.41,0.55,0.72,0.87,0.96,0.99,1,1,1,1
"Nova_Mutum",350000,0.005,0.015,0.03,0.05,0.08,0.2,0.32,0.52,0.7,0.85,0.96,1,1,1,1
"Ipiranga_do_Norte",218000,0,0.015,0.03,0.07,0.14,0.25,0.36,0.56,0.74,0.9,0.99,1,1,1,1
"Sinop",108000,0.005,0.01,0.02,0.05,0.13,0.24,0.33,0.55,0.72,0.85,0.97,1,1,1,1
