"IMEA_Regions","Area_ha","Partial_prod","2013-06-06","2013-06-13","2013-06-20","2013-06-27","2013-07-04","2013-07-11","2013-07-18","2013-07-25","2013-08-01","2013-08-08","2013-08-15","2013-08-22","2013-08-29","2013-09-05","2012-08-24","change_in_plant_per"
"Noroeste",143870,"90",0,0,0.005,0.045,0.131,0.331,0.411,0.557,0.725,0.913,0.953,0.973,1,1,1,0
"Norte",49880,"90",0,0.005,0.01,0.064,0.165,0.356,0.586,0.729,0.772,0.9,0.944,0.967,1,1,1,0
"Nordeste",253461,"93",0,0.014,0.023,0.086,0.157,0.327,0.454,0.706,0.822,0.907,0.95,0.979,1,1,1,0
"Medio_Norte",1787240,"106",0,0.036,0.055,0.162,0.287,0.446,0.679,0.855,0.899,0.949,0.979,0.994,1,1,1,0
"Oeste",410918,"99",0,0.03,0.042,0.093,0.224,0.358,0.473,0.636,0.75,0.846,0.919,0.983,1,1,1,0
"Centro_Sul",212678,"95",0,0.012,0.027,0.067,0.168,0.259,0.378,0.562,0.701,0.816,0.905,0.965,0.998,1,1,0
"Sudeste",742161,"101",0,0.013,0.031,0.119,0.194,0.356,0.428,0.639,0.7,0.878,0.922,0.968,0.997,1,1,0
"Mato_Grosso",3600208,"102",0.007,0.027,0.043,0.13,0.241,0.395,0.566,0.751,0.821,0.911,0.954,0.984,0.999,1,1,0
