"Regions","Area_ha","2014-01-09","2014-01-16","2014-01-23","2014-01-30","2014-02-06","2014-02-13","2014-02-20","2014-02-27","2014-03-06","2014-03-13","2014-03-20","2014-03-27","2014-04-03","2014-04-10","2014-04-17"
"Nova_Ubirata",353790,0.01,0.022,0.04,0.09,0.21,0.4,0.45,0.7,0.88,0.95,0.99,1,1,1,1
"Vera",138705,0.015,0.03,0.04,0.08,0.23,0.47,0.6,0.68,0.88,0.975,1,1,1,1,1
"Sao_Jose_do_Rio_Claro",116994,0.02,0.04,0.07,0.15,0.21,0.3,0.4,0.52,0.57,0.85,0.92,0.97,0.99,1,1
"Others_Medio_Norte",497871,0.007,0.035,0.05,0.095,0.22,0.32,0.45,0.58,0.7,0.9,0.97,0.98,0.99,1,1
"Oeste",1074855,0.084,0.113,0.137,0.203,0.316,0.478,0.62,0.7,0.801,0.909,0.962,0.985,1,1,1
"Sapezal",401782,0.12,0.14,0.173,0.25,0.37,0.56,0.69,0.75,0.83,0.9,0.96,0.99,1,1,1
"Campo_Novo_dos_Parecis",375636,0.06,0.08,0.093,0.17,0.28,0.39,0.55,0.65,0.8,0.93,0.98,0.99,1,1,1
"Campos_de_Julio",209145,0.08,0.12,0.15,0.18,0.29,0.49,0.64,0.7,0.75,0.89,0.94,0.97,1,1,1
"Others_Oeste",88292,0.03,0.11,0.135,0.19,0.28,0.45,0.55,0.69,0.79,0.9,0.95,0.98,1,1,1
"Centro_Sul",617512,0.004,0.032,0.052,0.11,0.18,0.329,0.397,0.488,0.621,0.842,0.918,0.976,0.996,1,1
"Diamantino",366685,0,0.02,0.03,0.09,0.14,0.3,0.36,0.45,0.55,0.84,0.9,0.98,1,1,1
"Tangara_da_Serra",98736,0.013,0.07,0.11,0.17,0.24,0.35,0.4,0.51,0.7,0.82,0.93,0.96,0.99,1,1
"Santo_Antonio_do_Leveger",38163,0.005,0.015,0.043,0.07,0.27,0.34,0.48,0.53,0.73,0.87,0.97,0.98,0.99,1,1
"Chapada_dos_Guimaraes",32501,0.02,0.06,0.105,0.18,0.27,0.48,0.58,0.67,0.85,0.93,0.99,0.995,1,1,1
"Others_Centro_Sul",81426,0.006,0.04,0.065,0.12,0.21,0.37,0.45,0.54,0.7,0.83,0.93,0.97,0.99,1,1
"Sudeste",1746499,0.008,0.044,0.059,0.098,0.265,0.371,0.483,0.591,0.74,0.885,0.965,0.976,0.987,0.994,1
"Campo_Verde",270969,0.015,0.07,0.105,0.18,0.34,0.48,0.58,0.67,0.85,0.93,0.99,0.995,1,1,1
"Primavera_do_Leste",271502,0.02,0.05,0.084,0.15,0.24,0.37,0.46,0.62,0.81,0.93,0.98,0.99,1,1,1
"Alto_Garcas_e_Alto_Taquari",85265,0.005,0.02,0.08,0.155,0.25,0.33,0.39,0.51,0.63,0.8,0.88,0.93,0.97,0.99,1
"Jaciara_e_Juscimeira",41487,0,0.03,0.043,0.07,0.27,0.34,0.48,0.53,0.73,0.87,0.97,0.98,0.99,1,1
"Santo_Antonio_do_Leste",149119,0,0.03,0.043,0.07,0.27,0.34,0.48,0.53,0.73,0.87,0.97,0.98,0.99,1,1
"Others_Sudeste",928156,0.005,0.04,0.04,0.06,0.25,0.35,0.47,0.58,0.7,0.87,0.96,0.97,0.98,0.99,1
"Mato_Grosso",8322523,0.019,0.042,0.058,0.106,0.217,0.364,0.473,0.585,0.715,0.846,0.925,0.958,0.985,0.997,1
