"Regions","Area_ha","2014-01-09","2014-01-16","2014-01-23","2014-01-30","2014-02-06","2014-02-13","2014-02-20","2014-02-27","2014-03-06","2014-03-13","2014-03-20","2014-03-27","2014-04-03","2014-04-10","2014-04-17"
"Noroeste",535051,0,0.009,0.028,0.112,0.194,0.35,0.556,0.65,0.7,0.77,0.9,0.96,0.98,1,1
"Brasnorte",218830,0,0.015,0.04,0.13,0.2,0.35,0.55,0.65,0.7,0.77,0.9,0.96,0.98,1,1
"Others_Noroeste",316222,0,0.005,0.02,0.1,0.19,0.35,0.56,0.65,0.7,0.77,0.9,0.96,0.98,1,1
"Norte",146821,0,0,0,0.023,0.073,0.2,0.283,0.394,0.614,0.75,0.9,0.93,0.97,0.99,1
"Itauba",40683,0,0,0,0.03,0.08,0.2,0.29,0.38,0.6,0.75,0.9,0.93,0.97,0.99,1
"Others_Norte",106138,0,0,0,0.02,0.07,0.2,0.28,0.4,0.62,0.75,0.9,0.93,0.97,0.99,1
"Nordeste",1200574,0,0.011,0.022,0.035,0.079,0.137,0.248,0.357,0.446,0.566,0.717,0.818,0.933,0.992,1
"Canarana",204995,0,0.025,0.03,0.06,0.11,0.17,0.3,0.4,0.5,0.62,0.74,0.86,0.94,1,1
"Querencia",352142,0,0.01,0.03,0.04,0.08,0.15,0.25,0.36,0.44,0.58,0.75,0.89,0.95,0.99,1
"Gaucha_do_Norte",134910,0,0,0,0.01,0.09,0.12,0.23,0.28,0.33,0.5,0.66,0.75,0.9,0.99,1
"Nova_Xavantina",47065,0,0,0,0.01,0.08,0.12,0.24,0.34,0.45,0.58,0.7,0.75,0.9,0.99,1
"Others_Nordeste",461462,0,0.01,0.02,0.03,0.06,0.12,0.23,0.36,0.46,0.55,0.7,0.77,0.93,0.99,1
"Medio_Norte",3001212,0.017,0.037,0.052,0.107,0.229,0.426,0.514,0.648,0.803,0.933,0.979,0.992,0.997,1,1
"Lucas_do_Rio_Verde",233055,0.015,0.055,0.065,0.12,0.35,0.57,0.62,0.8,0.9,0.96,1,1,1,1,1
"Sorriso",577712,0.026,0.04,0.06,0.125,0.25,0.5,0.59,0.7,0.88,0.97,1,1,1,1,1
"Nova_Mutum",382262,0.035,0.045,0.053,0.12,0.25,0.44,0.5,0.59,0.82,0.92,0.96,0.99,1,1,1
"Ipiranga_do_Norte",224942,0.01,0.05,0.055,0.123,0.19,0.4,0.57,0.75,0.87,0.98,1,1,1,1,1
"Sinop",153022,0.007,0.03,0.043,0.08,0.18,0.33,0.42,0.56,0.68,0.88,0.95,0.99,1,1,1
"Tapurah",169781,0.018,0.025,0.043,0.11,0.17,0.45,0.48,0.56,0.75,0.9,0.97,1,1,1,1
"Santa_Rita_do_Trivelato",153077,0.003,0.02,0.04,0.06,0.17,0.47,0.51,0.58,0.68,0.9,0.95,0.97,0.99,1,1
