"IMEA_Regions","Area_ha","2018-05-25","2018-06-01","2018-06-08","2018-06-15","2018-06-22","2018-06-29","2018-07-06","2018-07-13","2018-07-20","2018-07-27","2018-08-03","2018-08-10","2018-08-17","2018-08-24","2018-08-31","2018-09-07","weekly_change","2017-08-31","change_in_plant_per"
"Noroeste",296943,0,0,0.0169,0.0587,0.1018,0.2374,0.3243,0.5105,0.6932,0.8414,0.9268,0.9621,0.9892,0.9965,1,1,0,1,0
"Norte",164549,0,0,0.0015,0.0469,0.0816,0.1378,0.3508,0.5042,0.7262,0.8635,0.947,0.9908,1,1,1,1,0,1,0
"Nordeste",456910,0,0,0,0.0165,0.0342,0.0735,0.1984,0.394,0.6507,0.8358,0.9278,0.9854,0.9929,1,1,1,0,1,0
"Medio_Norte",1990917,0.0057,0.0122,0.0293,0.0907,0.2018,0.3392,0.5189,0.6913,0.8251,0.93,0.977,0.9933,0.9998,1,1,1,0,1,0
"Oeste",505391,0,0,0.0165,0.0752,0.1175,0.179,0.2785,0.4952,0.6403,0.787,0.93,0.9706,0.9946,1,1,1,0,1,0
"Centro_Sul",346812,0,0.0017,0.0253,0.0455,0.0684,0.101,0.1851,0.2948,0.4846,0.6402,0.7764,0.9063,0.9874,0.9974,0.9996,1,4e-04,1,0
"Sudeste",856057,0.0024,0.0129,0.015,0.0237,0.0409,0.0614,0.1149,0.1795,0.3191,0.548,0.7033,0.8733,0.9573,0.9924,0.9961,1,0.0039,1,0
"Mato_Grosso",4617580,0.0029,0.0078,0.0203,0.0623,0.1257,0.2128,0.3432,0.4983,0.6571,0.805,0.8973,0.9593,0.9891,0.9982,0.9992,1,8e-04,1,0
