"IMEA_Regions","Area_ha","2013-01-10","2013-01-17","2013-01-24","2013-01-31","2013-02-07","2013-02-14","2013-02-21","2013-02-28","2013-03-07","2013-03-14","2012-03-15","change_in_plant_per_1"
"Noroeste",75160,0,0,0.01,0.08,0.18,0.28,0.52,0.87,0.98,1,1,0
"Norte",22503,0,0.005,0.01,0.12,0.22,0.35,0.6,0.9,1,1,1,0
"Nordeste",172583,0,0,0.005,0.01,0.093,0.22,0.633,0.847,0.981,1,1,0
"Medio_Norte",1440635,0.004,0.015,0.032,0.13,0.241,0.497,0.714,0.918,0.986,1,1,0
"Oeste",350078,0.007,0.017,0.048,0.112,0.222,0.391,0.558,0.839,0.987,1,1,0
"Centro_Sul",170751,0,0.007,0.017,0.075,0.195,0.349,0.532,0.815,0.963,1,1,0
"Sudeste",556215,0,0.007,0.016,0.053,0.117,0.288,0.527,0.825,0.965,1,1,0
"Mato_Grosso",2787925,0.003,0.012,0.028,0.1,0.2,0.409,0.637,0.878,0.98,1,1,0
