"IMEA_Regions","Area_ha","2015-01-16","2015-01-22","2015-01-29","2015-02-05","2015-02-12","2015-02-19","2015-02-26","2015-03-05","2015-03-12","2015-03-19","weekly_change","2014-03-20","change_in_plant_per"
"Noroeste",117008,0,0,0.01,0.06,0.12,0.2,0.8,0.96,0.994,1,0.006,0.993,0.007
"Norte",42552,0,0.003,0.006,0.15,0.18,0.3,0.4,0.7,0.992,1,0.008,1,0
"Nordeste",290859,0.001,0.006,0.022,0.035,0.149,0.401,0.728,0.958,0.993,1,0.007,1,0
"Medio_Norte",1358681,0.012,0.043,0.112,0.165,0.261,0.44,0.631,0.831,0.974,1,0.026,0.998,0.002
"Oeste",370256,0.018,0.035,0.126,0.186,0.303,0.436,0.672,0.874,0.998,1,0.002,0.998,0.002
"Centro_Sul",180659,0.005,0.018,0.03,0.057,0.209,0.291,0.573,0.813,0.982,1,0.018,0.992,0.008
"Sudeste",605767,0.007,0.029,0.054,0.091,0.213,0.378,0.638,0.857,0.996,1,0.004,0.998,0.002
"Mato_Grosso",2965781,0.01,0.032,0.082,0.129,0.236,0.402,0.647,0.856,0.985,1,0.015,0.998,0.002
