"IMEA_Regions","Area_ha","Partial_prod","2014-06-05","2014-06-12","2014-06-18","2014-06-26","2014-07-03","2014-07-10","2014-07-17","2014-07-24","2014-07-31","2014-08-07","2014-08-14","2014-08-21","2014-08-28","2014-09-04","2013-09-05","change_in_plant_per"
"Noroeste",142143,90,0.007,0.017,0.034,0.054,0.154,0.27,0.4,0.588,0.669,0.869,0.958,0.984,1,1,1,0
"Norte",45235,73.7,0.001,0.043,0.053,0.063,0.185,0.293,0.413,0.563,0.713,0.813,0.855,0.993,1,1,1,0
"Nordeste",307177,93.9,0,0.018,0.037,0.063,0.169,0.253,0.436,0.68,0.83,0.939,0.992,1,1,1,1,0
"Medio_Norte",1505383,86.1,0.017,0.031,0.06,0.112,0.283,0.452,0.629,0.81,0.914,0.983,0.997,0.998,1,1,1,0
"Oeste",397701,97.6,0.035,0.057,0.083,0.123,0.19,0.254,0.363,0.553,0.729,0.868,0.971,0.988,0.998,1,1,0
"Centro_Sul",190574,91.4,0.001,0.015,0.041,0.091,0.123,0.218,0.336,0.518,0.622,0.819,0.891,0.993,1,1,1,0
"Sudeste",633978,101.8,0.001,0.008,0.024,0.056,0.099,0.162,0.285,0.417,0.585,0.755,0.883,0.983,0.998,1,1,0
"Mato_Grosso",3222192,91.6,0.013,0.027,0.051,0.093,0.208,0.328,0.48,0.658,0.788,0.903,0.961,0.993,0.999,1,1,0
