"IMEA_Regions","Area_ha","2012-01-12","2012-01-19","2012-01-26","2012-02-02","2012-02-09","2012-02-16","2012-02-23","2012-03-01","2012-03-08","2012-03-15","2011-03-17","change_in_plant_per_1"
"Noroeste",67800,0,0,0,0.1,0.471,0.575,0.848,0.98,1,1,1,0
"Norte",14650,0,0,0.002,0.12,0.487,0.587,0.827,0.96,1,1,1,0
"Nordeste",126600,0,0,0.005,0.14,0.59,0.697,0.787,0.914,0.992,1,1,0
"Medio_Norte",1280400,0.003,0.009,0.03,0.129,0.45,0.614,0.86,0.965,0.996,1,1,0
"Oeste",338350,0.002,0.026,0.047,0.103,0.493,0.603,0.83,0.962,1,1,0.971,0.029
"Centro_Sul",139400,0,0.003,0.022,0.075,0.392,0.482,0.703,0.96,0.993,1,0.982,0.018
"Sudeste",457620,0.001,0.004,0.033,0.117,0.262,0.424,0.704,0.916,0.983,1,0.977,0.023
"Mato_Grosso",2424820,0.002,0.009,0.031,0.119,0.42,0.567,0.811,0.953,0.994,1,0.989,0.011
