"IMEA_Regions","Area_ha","Final_prod","2015-01-08","2015-01-15","2015-01-22","2015-01-29","2015-02-05","2015-02-12","2015-02-19","2015-02-26","2015-03-05","2015-03-12","2015-03-19","2015-03-26","2015-04-02","2015-04-09","2015-04-16","2015-04-23","2015-04-30","weekly_change","2014-04-17","change_in_plant_per"
"Noroeste",568638,51,0.006,0.027,0.067,0.077,0.127,0.184,0.238,0.42,0.512,0.674,0.804,0.884,0.97,0.98,0.997,1,1,0,1,0
"Norte",212760,52.8,0.002,0.008,0.042,0.058,0.098,0.166,0.174,0.404,0.492,0.734,0.902,0.94,0.98,0.99,0.998,1,1,0,1,0
"Nordeste",1391763,49.6,0,0.006,0.01,0.018,0.044,0.083,0.155,0.304,0.407,0.598,0.7,0.771,0.892,0.93,0.978,0.989,1,0.011,1,0
"Medio_Norte",3107987,52.7,0.019,0.033,0.069,0.103,0.179,0.28,0.406,0.651,0.8,0.902,0.953,0.988,0.996,0.999,1,1,1,0,1,0
"Oeste",1114995,52.9,0.049,0.083,0.137,0.18,0.3,0.4,0.487,0.682,0.842,0.9,0.945,0.982,0.996,1,1,1,1,0,1,0
"Centro_Sul",655973,52.2,0.016,0.036,0.069,0.098,0.156,0.207,0.31,0.456,0.616,0.769,0.885,0.964,0.983,1,1,1,1,0,1,0
"Sudeste",1892823,51.8,0.024,0.064,0.111,0.139,0.197,0.277,0.381,0.512,0.658,0.8,0.887,0.967,0.986,0.995,0.998,1,1,0,1,0
"Mato_Grosso",8944938,51.9,0.02,0.041,0.076,0.104,0.17,0.249,0.349,0.537,0.675,0.805,0.883,0.94,0.975,0.986,0.996,0.998,1,0.002,1,0
