"IMEA_Regions","Area_ha","2012-09-20","2012-09-27","2012-10-04","2012-10-11","2012-10-18","2012-10-25","2012-11-01","2012-11-08","2012-11-15","2012-11-22","2012-11-23","2011-12-01","change_in_plant_per"
"Noroeste",415480,0.005,0.015,0.025,0.08,0.18,0.35,0.45,0.69,0.8,0.92,1,1,0
"Norte",127897,0.006,0.016,0.106,0.206,0.343,0.55,0.75,0.9,0.99,1,1,1,0
"Nordeste",1200834,0,0,0,0.007,0.035,0.117,0.193,0.398,0.547,0.888,1,0.983,0.017
"Medio_Norte",3011900,0.007,0.023,0.138,0.229,0.435,0.692,0.859,0.949,0.995,1,1,1,0
"Oeste",1002240,0.009,0.023,0.081,0.211,0.367,0.452,0.575,0.787,0.92,0.976,1,1,0
"Centro_Sul",483358,0.009,0.025,0.084,0.167,0.265,0.384,0.439,0.656,0.779,0.979,1,1,0
"Sudeste",1649248,0.005,0.013,0.071,0.193,0.379,0.54,0.632,0.785,0.956,0.997,1,1,0
"Mato_Grosso",7890957,0.006,0.017,0.086,0.173,0.328,0.503,0.625,0.778,0.886,0.974,1,0.998,0.002
