"IMEA_Regions","Area_ha","2018-01-12","2018-01-19","2018-01-26","2018-02-02","2018-02-09","2018-02-16","2018-02-23","2018-03-02","2018-03-09","2018-03-16","2018-03-23","2018-03-30","2018-04-06","2018-04-13","2018-04-20","2018-04-27","2018-05-04","weekly_change","2017-05-05","change_in_plant_per"
"Norte",312941,0.0069,0.0137,0.0481,0.1173,0.1991,0.3727,0.535,0.5895,0.8049,0.9483,0.9689,0.9815,1,1,1,1,1,0,1,0
"Nordeste",1607899,0,0,0.014,0.021,0.0447,0.1514,0.2611,0.3816,0.554,0.7231,0.7843,0.8924,0.9794,0.994,0.9971,0.9994,1,6e-04,1,0
"Medio_Norte",3241262,0.0185,0.0472,0.1765,0.3029,0.4297,0.6444,0.7961,0.9011,0.954,0.992,0.9983,1,1,1,1,1,1,0,1,0
"Oeste",1078975,0.0302,0.0752,0.2634,0.3085,0.391,0.6836,0.8066,0.9193,0.9792,0.9962,1,1,1,1,1,1,1,0,1,0
"Centro_Sul",700597,0.0147,0.0382,0.1152,0.2095,0.3049,0.4334,0.5087,0.6424,0.8047,0.94,0.9839,0.9946,1,1,1,1,1,0,1,0
"Sudeste",1921698,0.0082,0.0218,0.0532,0.107,0.1738,0.2432,0.378,0.5344,0.7367,0.8544,0.9207,0.9743,0.9929,0.9976,0.9993,0.9999,1,1e-04,1,0
"Mato_Grosso",9464343,0.0129,0.0329,0.1235,0.1991,0.2863,0.4497,0.583,0.708,0.8283,0.9133,0.9441,0.9755,0.9951,0.9985,0.9994,0.9999,1,1e-04,1,0
