"IMEA_Regions","Area_ha","2011-11-24","2011-12-01","2010-12-02","change_in_plant_per"
"Noroeste",271648,0.95,1,1,0
"Norte",42000,1,1,1,0
"Nordeste",884200,0.897,0.983,0.95,0.033
"Medio_Norte",2648542,1,1,1,0
"Oeste",976710,1,1,1,0
"Centro_Sul",425493,1,1,1,0
"Sudeste",1533468,0.993,1,0.975,0.025
"Mato_Grosso",6782061,0.984,0.998,0.989,0.009
