"IMEA_Regions","Area_ha","2011-08-18","2010-08-19","change_in_plant_per_1"
"Noroeste",58400,1,1,0
"Norte",13608,1,1,0
"Nordeste",72000,1,1,0
"Medio_Norte",841500,1,1,0
"Oeste",256100,1,1,0
"Centro_Sul",108000,1,1,0
"Sudeste",402500,0.996,1,-0.004
"Mato_Grosso",1752108,0.999,1,-0.001
