"IMEA_Regions","Area_ha","2014-09-18","2014-09-25","2014-10-02","2014-10-09","2014-10-16","2014-10-23","2014-10-30","2014-11-06","2014-11-13","2014-11-20","2014-11-27","2014-12-04","2014-12-11","2013-12-05","change_in_plant_per"
"Noroeste",608298,0.0014,0.004,0.01,0.09,0.088,0.204,0.338,0.663,0.808,0.894,0.974,0.997,1,1,0
"Norte",200301,0.0012,0.003,0.035,0.052,0.052,0.122,0.265,0.462,0.685,0.843,0.936,0.96,1,1,0
"Nordeste",1341790,0,0,0,0.014,0.017,0.047,0.182,0.306,0.577,0.78,0.92,0.972,1,1,0
"Medio_Norte",3064076,0.0034,0.02,0.063,0.092,0.103,0.223,0.473,0.796,0.915,0.971,0.996,1,1,1,0
"Oeste",1089072,0.006,0.051,0.061,0.144,0.163,0.359,0.564,0.771,0.894,0.959,0.99,1,1,1,0
"Centro_Sul",640152,0.0024,0.014,0.034,0.076,0.085,0.21,0.374,0.649,0.885,0.975,0.993,1,1,1,0
"Sudeste",1922550,0.0031,0.014,0.058,0.091,0.101,0.189,0.411,0.697,0.892,0.965,0.992,1,1,1,0
"Mato_Grosso",8866239,0.0029,0.017,0.045,0.084,0.093,0.201,0.405,0.669,0.841,0.931,0.98,0.995,1,1,0
